#Star_ID        Band            ew(A)
B0.5-III-ID2440 MgII/4481       0.136072941566
B0.5-III-ID2440 HeII/4541       -0.0316768850614
B0.5-III-ID2440 SiIII/4553      0.0541255049189
B0.5-III-ID2440 OII+CIII/4645   0.558840759046
B0.5-III-ID2440 HeII/4686       0.277157031729
B0.5-III-ID3831 CaIIK/3928      0.196589533641
B0.5-III-ID3831 HeI/4009        0.144612739891
B0.5-III-ID3831 HeI/4026        0.329592496821
B0.5-III-ID3831 SiIV/4088       0.164324838146
B0.5-III-ID3831 SiIV/4116       0.122588386799
B0.5-III-ID3831 HeI/4121        0.146172688745
B0.5-III-ID3831 SiII/4130       0.00547881251609
B0.5-III-ID3831 HeI/4144        0.308341682827
B0.5-III-ID3831 HeII/4200       0.243070994936
B0.5-III-ID3831 FeII/4233       -0.0237520611552
B0.5-III-ID3831 HeI/4387        0.304271559324
B0.5-III-ID3831 OII/4416        0.0630065847
B0.5-III-ID3831 HeI/4471        0.349836258892
B0.5-III-ID3831 MgII/4481       0.0939377607789
B0.5-III-ID3831 HeII/4541       0.0760030244579
B0.5-III-ID3831 SiIII/4553      0.077139329439
B0.5-III-ID3831 OII+CIII/4645   0.419726299378
B0.5-III-ID3831 HeII/4686       -0.0772057398714
B0.5-IV-ID0448  CaIIK/3928      0.221430569534
B0.5-IV-ID0448  HeI/4009        0.289018810789
B0.5-IV-ID0448  HeI/4026        0.757992835123
B0.5-IV-ID0448  SiIV/4088       0.22397079418
B0.5-IV-ID0448  SiIV/4116       0.166506487552
B0.5-IV-ID0448  HeI/4121        0.425952081398
B0.5-IV-ID0448  SiII/4130       0.130570463459
B0.5-IV-ID0448  HeI/4144        0.551266919565
B0.5-IV-ID0448  HeII/4200       0.028746203162
B0.5-IV-ID0448  FeII/4233       -0.0497778872074
B0.5-IV-ID0448  HeI/4387        0.470803881929
B0.5-IV-ID0448  OII/4416        0.103698437017
B0.5-IV-ID0448  HeI/4471        0.849134805389
B0.5-IV-ID0448  MgII/4481       0.113450827163
B0.5-IV-ID0448  HeII/4541       0.00540816279279
B0.5-IV-ID0448  SiIII/4553      0.0237530234654
B0.5-IV-ID0448  OII+CIII/4645   0.459446315121
B0.5-IV-ID0448  HeII/4686       0.0514304341177
B0.5-IV-ID0609  CaIIK/3928      0.253009905431
B0.5-IV-ID0609  HeI/4009        0.31294694267
B0.5-IV-ID0609  HeI/4026        0.743246436732
B0.5-IV-ID0609  SiIV/4088       0.210606914876
B0.5-IV-ID0609  SiIV/4116       0.180381505173
B0.5-IV-ID0609  HeI/4121        0.256810184533
B0.5-IV-ID0609  SiII/4130       0.107340121611
B0.5-IV-ID0609  HeI/4144        0.443825753289
B0.5-IV-ID0609  HeII/4200       -0.0108735183688
B0.5-IV-ID0609  FeII/4233       -0.0501704716421
B0.5-IV-ID0609  HeI/4387        0.417350986085
B0.5-IV-ID0609  OII/4416        0.0624320797249
B0.5-IV-ID0609  HeI/4471        0.559658281655
B0.5-IV-ID0609  MgII/4481       -0.0231749203767
B0.5-IV-ID0609  HeII/4541       0.0821868590412
B0.5-IV-ID0609  SiIII/4553      0.11987493014
B0.5-IV-ID0609  OII+CIII/4645   0.570715134844
B0.5-IV-ID0609  HeII/4686       0.0237107122818
B0.5-IV-ID0719  CaIIK/3928      0.0617895795947
B0.5-IV-ID0719  HeI/4009        0.316353079938
B0.5-IV-ID0719  HeI/4026        0.651270768445
B0.5-IV-ID0719  SiIV/4088       0.089510234025
B0.5-IV-ID0719  SiIV/4116       0.0529595158889
B0.5-IV-ID0719  HeI/4121        0.222361120584
B0.5-IV-ID0719  SiII/4130       -0.144827897156
B0.5-IV-ID0719  HeI/4144        0.411081759533
B0.5-IV-ID0719  HeII/4200       -0.617671853523
B0.5-IV-ID0719  FeII/4233       -0.278888605775
B0.5-IV-ID0719  HeI/4387        0.573252163612
B0.5-IV-ID0719  OII/4416        0.00951569886253
B0.5-IV-ID0719  HeI/4471        0.602010262407
