Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
"SV* HV   916               ",78.70718,-67.45548,16.672,0.116,14.468,0.029,12.296,0.025,10.442,0.02,8.639,0.018,7.784,0.021,7.421,0.017,7.0,0.036,6.919,0.027,6.602,0.018,6.085,0.025,3.622,0.022,RSG
"[GDN2015] LMC45            ",81.59808,-69.873825,15.662,0.048,14.737,0.077,12.195,0.134,10.145,0.03,8.395,0.03,7.585,0.034,7.194,0.029,6.867,0.051,7.011,0.033,6.733,0.021,6.398,0.024,4.354,0.022,RSG
"LI-LMC  183                ",73.762794,-69.48688,18.678,0.136,16.434,0.03,14.436,0.02,10.346,0.02,8.658,0.021,7.685,0.044,7.2,0.023,6.772,0.025,6.518,0.024,6.174,0.028,5.534,0.023,3.061,0.017,RSG
"SV* HV  2595               ",82.58727,-67.33485,14.873,0.02,14.354,0.01,12.786,0.01,10.027,0.02,8.448,0.021,7.783,0.044,7.452,0.026,7.033,0.026,6.789,0.025,6.437,0.025,5.782,0.024,3.834,0.022,RSG
"WOH S 229                  ",79.763596,-69.66536,13.443,0.01,13.214,0.01,11.756,,10.031,0.03,8.53,0.029,7.913,0.038,7.604,0.029,7.369,0.03,7.326,0.019,7.032,0.016,6.514,0.021,4.532,0.033,RSG
"SP77  53-3                 ",83.24936,-68.59857,,,13.97,,11.92,,10.227,0.03,8.694,0.032,8.0,0.038,7.65,0.027,7.355,0.03,7.457,0.025,7.204,0.021,6.847,0.017,5.791,0.032,RSG
"SV* HV 12501               ",73.92428,-69.44007,16.013,0.07,13.834,0.01,11.776,,10.143,0.02,8.8,0.025,8.026,0.029,7.695,0.021,7.447,0.025,7.439,0.031,7.197,0.02,6.829,0.017,4.587,0.029,RSG
"SP77 48-6                  ",80.445625,-71.32883,14.203,0.032,13.332,0.028,11.469,0.076,10.064,0.02,8.876,0.029,8.297,0.02,8.054,0.023,7.717,0.037,7.703,0.025,7.427,0.02,7.02,0.019,5.36,0.031,RSG
"SK -69 148                 ",82.11636,-69.21593,14.093,0.01,12.594,,10.986,,9.646,0.02,8.974,0.026,8.666,0.063,8.384,0.029,8.203,0.03,7.903,0.026,7.695,0.016,7.43,0.018,6.03,0.041,RSG
"[M2002] LMC 142202         ",82.18951,-68.9673,14.573,0.02,13.854,0.01,12.206,0.01,9.987,0.02,8.71,0.029,7.941,0.042,7.549,0.018,7.312,0.024,7.468,0.023,7.197,0.02,6.857,0.02,5.306,0.028,RSG
