Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
Sk -67 126,82.08345777777777,-67.67521666666666,,,,,,,,,11.459,0.023,11.502,0.022,11.462,0.021,11.395,0.025,11.357,0.026,11.346,0.029,11.344,0.043,,,OBA
Sk -71 33,82.08591472222221,-70.98955527777777,12.816,0.043,13.735,0.029,13.726,0.0241,13.521,0.033,13.432,0.023,13.349,0.025,13.076,0.025,12.635,0.041,12.445,0.032,12.169,0.045,11.904,0.041,,,OBAe
Sk -69 152,82.1624986111111,-69.15311416666665,,,,,,,,,12.132,0.022,12.191,0.025,12.256,0.029,12.116,0.026,12.107,0.029,12.063,0.041,12.068,0.031,,,OBA
Sk -65 63,82.16437527777776,-65.65016944444443,11.919,0.12,10.967,0.136,11.866,0.2001,12.24,0.163,12.943,0.024,13.011,0.026,13.071,0.024,13.001,0.029,12.994,0.026,12.824,0.071,12.949,0.05,,,OBA
Sk -70 94,82.17891694444444,-70.33044416666665,11.93,0.04,12.762,0.161,13.124,0.1731,13.229,0.107,13.333,0.024,13.366,0.028,13.376,0.03,13.362,0.038,13.335,0.036,13.372,0.056,13.195,0.084,,,OBA
Sk -66 106,82.2541275,-66.64105222222221,,,,,,,,,11.849,0.026,11.921,0.027,11.942,0.026,11.78,0.028,11.811,0.026,11.766,0.032,11.684,0.037,,,OBA
Sk -67 131,82.26320638888888,-67.34039305555555,11.283,0.01,12.324,0.01,12.486,0.0101,11.463,0.118,12.693,0.027,12.768,0.023,12.776,0.023,12.712,0.036,12.668,0.031,12.652,0.042,12.54,0.07,,,OBA
W16-46,82.2715836111111,-68.76780694444443,,,,,,,,,13.199,0.023,13.268,0.023,13.296,0.025,13.405,0.039,13.31,0.027,13.37,0.044,13.336,0.076,,,OBA
NGC2004-015,82.29775249999999,-67.25677499999999,12.253,0.01,13.164,0.01,13.306,0.0101,13.648,0.062,13.753,0.03,13.803,0.037,13.895,0.042,13.894,0.031,13.83,0.035,13.879,0.06,13.838,0.083,,,OBA
W16-61,82.2986222222222,-68.74002083333332,11.643,0.01,12.674,0.01,12.846,0.0101,12.846,0.127,13.081,0.023,13.197,0.022,13.221,0.024,13.264,0.03,13.298,0.035,13.385,0.046,13.279,0.087,,,OBA
BAT99-47,82.30154416666666,-68.76002499999998,14.391,0.035,15.104,0.023,15.295,0.0231,15.222,0.026,14.885,0.025,14.791,0.032,14.387,0.045,13.947,0.032,13.496,0.029,13.451,0.055,12.962,0.056,,,WR
NGC2004-010,82.34049999999999,-67.33638749999999,11.703,0.01,12.574,0.01,12.676,0.0101,11.888,0.151,12.754,0.024,12.758,0.023,12.835,0.029,12.79,0.024,12.771,0.027,12.731,0.045,12.772,0.084,,,OBA
W16-26,82.36541749999999,-68.7667236111111,11.553,0.01,12.554,0.01,12.696,0.01,,,12.91,0.027,13.002,0.029,13.009,0.027,12.936,0.03,12.957,0.03,12.917,0.065,12.907,0.056,,,OBA
BAT99-48,82.38183583333333,-68.90800472222222,14.008,0.022,14.491,0.019,14.781,0.0261,14.703,0.025,14.35,0.023,14.278,0.029,13.918,0.03,13.442,0.031,13.023,0.031,12.77,0.058,12.507,0.052,,,WR
NGC2004-033,82.38620749999998,-67.28472138888888,13.624,0.021,14.286,0.017,14.374,0.0461,14.593,0.037,14.57,0.024,14.631,0.031,14.655,0.047,13.717,0.027,13.557,0.025,13.507,0.037,13.347,0.069,,,OBAe
BAT99-49,82.38837416666665,-70.99302666666665,12.472,0.038,13.32,0.035,13.483,0.0491,13.743,0.033,,,,,,,13.869,0.035,13.749,0.037,13.685,0.061,13.506,0.073,,,WR
NGC2004-044,82.39158638888888,-67.30191805555555,13.772,0.262,14.445,0.207,14.603,0.0251,14.863,0.026,14.98,0.028,15.174,0.042,15.268,0.082,15.251,0.039,15.256,0.046,,,,,,,OBA
NGC2004-027,82.393875,-67.1989211111111,13.095,0.064,14.054,0.021,14.014,0.1201,13.953,0.033,14.002,0.024,13.874,0.025,13.712,0.031,13.46,0.029,13.319,0.038,13.171,0.038,12.986,0.052,,,OBAe
NGC2004-005,82.4275436111111,-67.3465272222222,,,,,,,,,11.983,0.033,11.964,0.049,11.965,0.042,11.939,0.025,11.915,0.027,11.878,0.033,11.838,0.041,,,OBA
RXJ0529.8-6556,82.44937138888888,-65.94544222222221,13.761,0.029,14.477,0.038,14.594,0.0221,14.741,0.106,14.6,0.023,14.683,0.033,14.463,0.042,14.472,0.04,14.404,0.035,14.247,0.07,,,,,OBAe
Sk -66 110,82.46487416666666,-66.85555277777777,11.887,0.024,12.752,0.061,12.963,0.1051,13.121,0.132,13.314,0.022,13.436,0.024,13.468,0.026,13.451,0.03,13.433,0.032,13.376,0.049,13.35,0.076,,,OBA
Sk -69 162,82.48316972222221,-69.00333388888887,,,,,,,,,11.945,0.024,11.977,0.025,11.997,0.023,11.887,0.039,11.804,0.023,11.757,0.03,11.758,0.038,,,OBA
NGC2004-025,82.50304416666665,-67.36566166666665,13.255,0.02,14.197,0.057,14.261,0.0211,14.362,0.021,14.315,0.023,14.344,0.026,14.249,0.037,13.579,0.031,13.332,0.031,13.1,0.04,12.889,0.055,,,OBAe
NGC2004-006,82.5050811111111,-67.2435761111111,,,,,,,,,11.712,0.027,11.676,0.025,11.636,0.027,11.568,0.033,11.518,0.024,11.496,0.032,11.514,0.031,,,OBA
BAT99-51,82.51024638888887,-68.75511166666666,14.146,0.031,14.939,0.06,15.201,0.0371,15.213,0.03,14.919,0.026,14.846,0.033,14.602,0.043,14.202,0.034,13.783,0.042,13.607,0.064,13.381,0.083,,,WR
NGC2004-040,82.5302886111111,-67.23979944444443,14.865,0.402,14.73,0.013,14.529,0.0201,14.293,0.025,13.959,0.024,13.896,0.027,13.881,0.032,13.769,0.032,13.785,0.034,13.801,0.056,13.809,0.089,,,OBA
Sk -68 105,82.53704083333332,-68.81019583333332,11.903,0.01,12.974,0.01,13.116,0.0101,13.259,0.103,13.333,0.022,13.436,0.024,13.449,0.027,13.479,0.039,13.446,0.036,13.541,0.063,13.514,0.075,,,OBA
NGC2004-030,82.54595944444443,-67.38253027777778,13.335,0.027,14.174,0.024,14.361,0.0491,14.637,0.051,14.759,0.029,14.883,0.042,14.891,0.062,14.98,0.038,14.998,0.051,15.276,0.135,,,,,OBA
BAT99-52,82.55066666666666,-67.43563833333333,12.853,0.01,13.324,0.01,13.556,0.0101,13.856,0.043,13.742,0.022,13.677,0.025,13.131,0.025,13.02,0.023,12.619,0.022,12.491,0.032,12.171,0.04,,,WR
Sk -67 145,82.56524666666665,-67.5394136111111,,,,,,,,,11.145,0.026,11.127,0.022,11.119,0.026,11.048,0.025,10.993,0.03,10.995,0.028,11.014,0.032,,,OBA
NGC2004-092,82.60395805555555,-67.21299749999999,14.475,0.031,15.201,0.02,15.244,0.0261,15.603,0.032,15.43,0.037,15.576,0.062,15.598,0.109,15.923,0.081,16.106,0.126,,,,,,,OBAe
NGC2004-037,82.60991666666665,-67.15022277777777,13.784,0.022,14.44,0.022,14.545,0.0151,14.824,0.05,,,,,,,14.12,0.059,14.04,0.052,13.872,0.074,,,,,OBAe
NGC2004-039,82.6134186111111,-67.22433472222221,13.841,0.166,14.499,0.015,14.625,0.0181,14.792,0.03,14.898,0.031,14.988,0.042,14.937,0.066,15.071,0.041,15.099,0.06,,,,,,,OBAe
NGC2004-034,82.61712638888888,-67.2546386111111,13.792,0.06,14.498,0.014,14.629,0.0201,14.872,0.025,14.606,0.029,14.617,0.034,14.561,0.051,14.731,0.035,14.578,0.048,14.601,0.091,,,,,OBAe
NGC2004-096,82.62479388888887,-67.26486222222222,14.741,0.053,15.214,0.159,15.385,0.0181,15.436,0.028,15.244,0.034,15.188,0.051,14.88,0.064,14.647,0.037,14.451,0.047,14.388,0.083,,,,,OBAe
Sk -67 150,82.63212583333332,-67.01483138888888,11.241,0.032,12.034,0.074,11.881,0.2831,10.856,0.164,12.438,0.022,12.509,0.028,12.478,0.029,12.458,0.031,12.406,0.029,12.472,0.047,12.356,0.042,,,OBA
NGC2004-067,82.64433277777776,-67.2459947222222,14.314,0.133,15.164,0.014,15.304,0.0441,15.534,0.042,15.465,0.034,15.384,0.05,15.168,0.079,15.604,0.054,15.573,0.044,,,,,,,OBAe
lmc1-702,82.64670555555554,-71.03247833333333,14.037,0.03,14.87,0.028,14.93,0.0231,14.809,0.041,14.782,0.031,14.663,0.035,14.524,0.046,14.097,0.046,13.885,0.042,13.801,0.06,13.347,0.067,,,OBAe
NGC2004-056,82.64966583333332,-67.18569166666666,14.217,0.058,14.889,0.018,15.003,0.0271,15.26,0.036,14.691,0.035,14.825,0.045,14.713,0.06,15.396,0.039,15.412,0.062,,,,,,,OBAe
NGC2004-035,82.65483083333332,-67.2623061111111,13.745,0.024,14.556,0.015,14.699,0.0181,14.836,0.05,14.309,0.029,14.247,0.031,14.054,0.039,13.644,0.044,13.463,0.027,13.307,0.046,,,,,OBAe
NGC2004-032,82.65541833333332,-67.17610916666666,13.627,0.021,14.277,0.03,14.397,0.0181,14.674,0.025,14.732,0.032,14.839,0.038,14.838,0.061,14.925,0.041,14.98,0.047,,,,,,,OBA
NGC2004-012,82.6561661111111,-67.28158583333332,12.183,0.02,13.154,0.02,13.336,0.0201,13.493,0.045,13.847,0.026,13.928,0.029,13.923,0.035,13.868,0.052,13.874,0.044,14.018,0.071,,,,,OBA
BAT99-53,82.66124722222222,-71.02994527777777,12.319,0.032,12.983,0.03,12.963,0.1041,13.413,0.044,13.401,0.026,13.411,0.027,13.164,0.027,13.345,0.081,12.985,0.042,12.777,0.058,12.547,0.059,,,WR
NGC2004-031,82.66154472222222,-67.33997333333332,13.639,0.036,14.289,0.021,14.413,0.0171,14.591,0.192,14.729,0.029,14.782,0.034,14.851,0.061,14.872,0.037,14.873,0.047,,,,,,,OBA
Sk -71 39,82.66616833333332,-71.02486416666666,11.737,0.029,12.651,0.049,12.605,0.0981,12.345,0.164,12.816,0.028,12.95,0.034,12.92,0.046,13.058,0.087,13.094,0.053,12.968,0.088,12.861,0.078,,,OBA
NGC2004-008,82.6670836111111,-67.27719888888888,,,,,,,,,12.296,0.022,12.278,0.027,12.263,0.026,12.149,0.036,12.163,0.025,12.19,0.045,12.265,0.046,,,OBA
NGC2004-016,82.66712194444443,-67.31642138888888,13.417,0.021,13.676,0.035,13.679,0.0251,13.654,0.037,13.502,0.027,13.541,0.029,13.527,0.035,13.6,0.043,13.533,0.03,13.671,0.064,13.722,0.098,,,OBA
Sk -71 41,82.66728972222221,-71.09364333333332,11.906,0.029,12.643,0.039,12.775,0.0991,12.769,0.064,12.882,0.028,12.976,0.036,12.946,0.038,12.902,0.034,12.835,0.034,12.894,0.053,,,,,OBA
NGC2004-003,82.66833499999998,-67.26917277777777,,,,,,,,,12.117,0.026,12.117,0.031,12.163,0.026,11.996,0.03,11.984,0.03,12.032,0.041,11.996,0.045,,,OBA
NGC2004-021,82.6750411111111,-67.36149611111111,12.919,0.17,13.665,0.029,13.744,0.0691,13.997,0.024,14.087,0.035,14.153,0.041,14.166,0.048,14.22,0.031,14.286,0.044,14.276,0.07,,,,,OBA
NGC2004-053,82.68245694444444,-67.25627888888889,13.837,0.024,14.797,0.075,14.906,0.0181,15.117,0.197,15.368,0.034,15.523,0.056,15.646,0.117,15.604,0.036,15.604,0.052,,,,,,,OBAe
NGC2004-014,82.68529499999998,-67.35041805555555,12.603,0.01,13.414,0.01,13.546,0.0101,13.671,0.033,13.701,0.027,13.754,0.027,13.803,0.034,13.808,0.039,13.826,0.042,13.817,0.064,,,,,OBA
NGC2004-013,82.69396222222221,-67.32772055555554,12.473,0.01,13.384,0.01,13.546,0.0101,13.683,0.035,13.791,0.028,13.891,0.029,13.95,0.036,13.909,0.042,13.853,0.046,13.846,0.073,,,,,OBA
lmc1-620,82.6961211111111,-71.05436722222221,12.694,0.031,13.453,0.028,13.44,0.0391,13.29,0.029,13.18,0.026,13.165,0.026,13.157,0.026,13.052,0.036,13.023,0.053,12.858,0.085,,,,,OBA
NGC2004-022,82.69737249999999,-67.28983305555555,12.982,0.024,13.74,0.029,13.863,0.0181,13.925,0.208,13.889,0.036,13.849,0.05,13.82,0.063,,,14.444,0.052,14.247,0.107,,,,,OBA
Sk -71 42,82.69912722222222,-71.06730638888888,10.281,0.051,10.971,0.143,11.088,0.1851,10.767,0.193,11.163,0.023,11.227,0.025,11.211,0.026,11.089,0.025,11.025,0.021,11.058,0.031,11.014,0.037,,,OBA
NGC2004-089,82.70146166666666,-67.36627972222222,14.588,0.024,15.148,0.015,15.265,0.0261,15.356,0.037,15.511,0.037,15.611,0.064,15.626,0.114,15.639,0.038,15.707,0.04,,,,,,,OBAe
Sk -66 118,82.71629333333333,-66.90252694444443,11.075,0.055,11.674,0.08,11.859,0.133,,,11.964,0.024,11.988,0.022,11.985,0.024,11.844,0.031,11.887,0.025,11.841,0.038,11.793,0.04,,,OBA
NGC2004-020,82.72416694444443,-67.26355749999999,12.934,0.104,13.573,0.036,13.733,0.0201,13.866,0.035,13.971,0.028,14.028,0.029,14.073,0.039,14.079,0.038,14.068,0.043,14.11,0.068,13.987,0.101,,,OBA
NGC2004-023,82.74170666666666,-67.30411527777777,13.303,0.127,13.906,0.018,14.181,0.0201,13.898,0.035,13.772,0.027,13.773,0.028,13.583,0.032,13.379,0.032,13.214,0.031,12.94,0.065,12.734,0.057,,,OBAe
NGC2004-029,82.75045777777777,-67.2497711111111,13.423,0.02,14.198,0.014,14.391,0.0291,14.486,0.163,14.696,0.029,14.694,0.034,14.746,0.056,14.641,0.043,14.538,0.035,14.484,0.084,13.916,0.067,,,OBAe
Sk -68 111,82.75350194444444,-68.89919277777777,11.919,0.141,10.161,0.093,12.09,0.1181,10.592,0.127,12.161,0.021,12.254,0.025,12.225,0.028,12.087,0.03,12.12,0.026,12.038,0.034,11.975,0.044,,,OBA
NGC2004-011,82.76562499999999,-67.35558333333333,11.633,0.01,12.584,0.01,12.666,0.0101,12.621,0.154,,,13.069,0.026,13.073,0.029,13.091,0.029,13.043,0.026,12.999,0.036,12.996,0.049,,,OBA
NGC2004-115,82.76933277777776,-67.30975333333332,14.729,0.074,15.375,0.155,15.527,0.0171,15.749,0.025,15.914,0.049,16.062,0.097,,,15.914,0.042,15.747,0.07,,,,,,,OBAe
Sk -71 44,82.78424833333332,-71.02853388888887,12.059,0.029,12.837,0.03,13.004,0.0731,13.092,0.036,13.281,0.025,13.338,0.025,13.349,0.027,13.414,0.039,13.364,0.034,13.383,0.059,13.314,0.107,,,OBA
NGC2004-002,82.80341333333332,-67.25222027777777,,,,,,,,,11.367,0.022,11.317,0.025,11.296,0.021,11.21,0.031,11.198,0.027,11.136,0.029,11.142,0.034,,,OBA
lmc1-504,82.8286286111111,-71.07749944444444,13.825,0.032,14.579,0.029,14.413,0.0211,13.927,0.028,13.577,0.027,13.299,0.028,13.039,0.026,12.671,0.035,12.439,0.034,12.256,0.053,11.934,0.079,,,OBAe
NGC2004-064,82.82962805555555,-67.28186805555555,14.048,0.12,14.865,0.015,15.05,0.0191,15.365,0.37,15.468,0.035,15.657,0.064,15.704,0.11,15.625,0.044,15.651,0.055,,,,,,,OBA
BAT99-55,82.85633083333332,-69.09405527777777,,,,,,,,,11.82,0.023,11.852,0.027,11.724,0.025,11.54,0.036,11.424,0.059,11.24,0.057,,,2.824,0.005523,WR
NGC2004-004,82.86624916666666,-67.41219333333332,,,,,,,,,11.845,0.023,11.919,0.027,11.834,0.026,11.772,0.021,11.77,0.027,11.715,0.032,11.716,0.035,,,OBA
NGC2004-028,82.88578805555555,-67.2778625,13.517,0.022,14.15,0.099,14.296,0.0191,14.398,0.14,14.56,0.025,14.578,0.031,14.662,0.045,14.755,0.035,14.718,0.051,14.954,0.103,,,,,OBA
BAT99-56,82.88695527777777,-67.6796111111111,13.592,0.029,14.491,0.014,14.653,0.0431,14.519,0.03,14.263,0.027,14.132,0.03,13.862,0.036,13.362,0.033,12.975,0.023,12.794,0.041,12.462,0.057,,,WR
BAT99-57,82.89316555555554,-67.27481083333332,14.146,0.022,14.696,0.032,14.897,0.1091,14.835,0.025,14.493,0.024,14.346,0.03,14.07,0.035,13.636,0.04,13.166,0.035,13.025,0.042,12.605,0.045,,,WR
Sk -67 166,82.93421166666666,-67.63372027777777,9.52,0.126,13.773,0.237,12.216,0.1961,11.167,0.149,12.603,0.023,12.674,0.027,12.702,0.03,12.68,0.027,12.593,0.023,12.568,0.037,12.448,0.036,,,OBA
NGC2004-048,82.94599916666665,-67.29849999999999,14.019,0.024,14.637,0.017,14.681,0.0181,14.958,0.027,15.032,0.027,15.04,0.039,15.129,0.069,15.023,0.024,14.917,0.06,14.842,0.103,,,,,OBAe
Sk -71 46,82.95662694444444,-71.06058499999999,12.467,0.029,13.147,0.031,13.241,0.0661,13.066,0.035,12.992,0.024,12.928,0.029,12.908,0.035,12.853,0.034,12.756,0.032,12.721,0.057,12.607,0.074,,,OBA
Sk -67 169,82.96495833333333,-67.03952777777776,,,,,,,,,12.377,0.026,12.446,0.027,12.444,0.026,12.454,0.028,12.439,0.027,12.409,0.038,12.402,0.063,,,OBA
Sk -67 167,82.96629333333333,-67.66149888888889,11.243,0.01,12.364,0.01,12.586,0.0101,11.819,0.151,12.814,0.02,12.879,0.028,12.881,0.035,12.902,0.025,12.811,0.023,12.795,0.047,12.589,0.084,,,OBA
Sk -67 168,82.96716305555555,-67.5724411111111,,,,,,,,,12.381,0.021,12.509,0.03,12.528,0.03,12.519,0.036,12.463,0.022,12.436,0.043,12.359,0.038,,,OBA
LH72-S128,82.9725036111111,-66.52064499999999,12.216,0.034,11.095,0.162,12.103,0.1971,12.871,0.117,13.031,0.024,13.081,0.026,13.06,0.027,13.118,0.035,13.033,0.032,12.985,0.05,12.939,0.049,,,OBA
NGC2004-007,83.0031661111111,-67.339615,,,,,,,,,12.004,0.021,12.023,0.024,11.998,0.027,11.964,0.025,11.98,0.025,11.927,0.035,11.965,0.045,,,OBA
BI 193,83.02004249999999,-67.55931083333333,12.323,0.01,13.334,0.01,13.556,0.0101,13.711,0.059,13.974,0.023,14.073,0.027,14.092,0.034,14.155,0.035,14.104,0.034,14.038,0.057,14.145,0.082,,,OBA
Sk -67 172,83.03050222222221,-67.48722083333332,,,,,,,,,12.027,0.024,12.113,0.028,12.054,0.028,12.003,0.026,12.011,0.018,11.972,0.034,11.965,0.031,,,OBA
BAT99-58,83.03121194444444,-68.44211583333332,14.772,0.032,15.351,0.029,15.064,0.0191,14.373,0.039,13.807,0.028,13.54,0.035,13.255,0.035,12.698,0.031,12.406,0.026,12.263,0.044,11.944,0.047,,,WR
LH72-L39,83.04125222222221,-66.43566888888888,13.83,0.039,14.823,0.021,14.959,0.0401,15.286,0.023,15.419,0.036,15.485,0.059,15.61,0.111,15.66,0.12,15.533,0.124,,,,,,,OBAe
Sk -67 173,83.04479222222221,-67.67360694444443,8.935,0.098,14.477,0.173,12.174,0.2331,10.919,0.124,12.282,0.024,12.378,0.03,12.369,0.034,12.418,0.035,12.341,0.025,12.342,0.049,,,,,OBA
LH72-S132,83.0783311111111,-66.40333555555554,,,,,,,,,11.443,0.033,11.356,0.034,11.202,0.029,10.828,0.025,10.583,0.023,10.434,0.026,10.138,0.039,,,OBAe
Sk -67 176,83.08262638888888,-67.68658444444443,,,,,,,,,12.132,0.026,12.24,0.03,12.257,0.03,12.302,0.029,12.28,0.021,12.204,0.038,12.021,0.09,,,OBA
BI 197,83.1191636111111,-67.37567138888888,12.944,0.112,13.681,0.037,13.744,0.0291,13.973,0.03,14.096,0.025,14.18,0.029,14.174,0.037,14.311,0.037,14.314,0.034,14.582,0.1,14.338,0.09,,,OBA
Sk -65 66,83.13595583333333,-65.86125166666666,12.212,0.038,12.474,0.138,13.048,0.0761,13.162,0.146,,,,,,,13.548,0.042,13.55,0.037,13.568,0.047,13.468,0.066,,,OBA
LH72-S135,83.1383361111111,-66.43675222222221,12.364,0.053,10.756,0.16,11.522,0.1751,11.424,0.155,12.355,0.022,12.38,0.027,12.401,0.026,12.383,0.032,12.357,0.027,12.294,0.044,,,,,OBA
BI 200,83.2163772222222,-67.5652772222222,12.638,0.029,13.507,0.066,13.644,0.0331,13.792,0.055,,,,,14.066,0.039,14.101,0.024,14.096,0.033,14.153,0.054,14.107,0.099,,,OBA
BAT99-59,83.29404444444444,-67.71196749999999,12.093,0.01,13.054,0.01,13.186,0.0101,12.828,0.114,13.079,0.026,13.013,0.021,12.89,0.033,12.609,0.027,12.357,0.027,12.233,0.043,11.934,0.042,,,WR
BAT99-60,83.29528805555555,-69.48360444444444,13.435,0.031,14.227,0.033,14.295,0.1111,14.512,0.122,14.592,0.028,14.503,0.035,14.515,0.044,14.213,0.036,13.882,0.033,13.855,0.043,13.443,0.077,,,WR
Sk -66 148,83.45229333333332,-66.57521833333332,,,10.444,0.098,10.048,0.0961,11.123,0.12,12.362,0.03,12.411,0.033,12.406,0.037,12.436,0.032,12.373,0.026,12.326,0.047,12.376,0.054,,,OBA
BI 214,83.52583305555555,-69.41927333333332,12.003,0.01,13.084,0.01,13.236,0.0101,13.411,0.047,13.539,0.024,13.571,0.026,13.586,0.03,13.568,0.025,13.542,0.033,13.524,0.05,13.476,0.067,,,OBA
Sk -66 150,83.52720638888889,-66.88727583333332,11.408,0.028,12.086,0.078,12.301,0.0971,11.045,0.173,12.363,0.03,12.463,0.025,12.467,0.026,12.411,0.035,12.357,0.031,12.318,0.037,12.304,0.043,,,OBA
Sk -66 151,83.54937749999999,-66.23371888888887,11.917,0.078,10.999,0.118,12.415,0.1591,12.228,0.186,12.851,0.026,12.93,0.021,12.961,0.034,12.93,0.04,12.86,0.025,12.881,0.061,12.764,0.095,,,OBA
Sk -67 199,83.57691972222221,-67.30380999999998,,,,,,,,,11.061,0.024,11.045,0.021,11.01,0.019,,,10.943,0.021,10.922,0.024,10.915,0.023,,,OBA
Sk -66 152,83.57795722222221,-66.14508055555555,11.896,0.11,10.84,0.123,11.863,0.1301,12.318,0.274,12.862,0.027,12.919,0.025,12.888,0.035,12.858,0.031,12.718,0.029,12.689,0.036,12.689,0.058,,,OBA
BAT99-61,83.58016972222221,-69.7528611111111,12.807,0.161,12.974,0.177,13.12,0.0941,13.49,0.076,13.291,0.026,13.26,0.037,12.686,0.029,12.439,0.03,12.003,0.025,11.888,0.035,11.514,0.034,,,WR
Sk -69 193,83.62853999999999,-69.78105916666665,,,,,,,,,12.345,0.028,12.358,0.032,12.33,0.027,12.249,0.107,12.181,0.048,11.851,0.155,,,,,OBA
Sk -69 194,83.65032972222221,-69.76013944444443,11.428,0.03,12.354,0.18,12.349,0.0801,12.019,0.212,12.349,0.024,12.36,0.032,12.303,0.026,11.829,0.035,11.827,0.032,11.688,0.034,11.614,0.069,,,OBA
BAT99-62,83.65612777777777,-66.24388888888888,14.196,0.1,15.041,0.015,15.312,0.0231,15.273,0.16,15.263,0.026,15.136,0.042,15.063,0.064,14.412,0.037,13.994,0.033,13.977,0.062,13.464,0.072,,,WR
LH81-1007,83.66503916666666,-69.74663527777777,11.591,0.051,12.277,0.059,12.482,0.1341,12.356,0.301,12.846,0.044,12.891,0.063,12.867,0.045,12.826,0.051,12.779,0.034,12.76,0.057,,,,,OBA
W28-17,83.68020638888888,-69.7108611111111,11.936,0.12,12.543,0.129,12.678,0.1101,12.815,0.229,13.067,0.024,13.098,0.027,13.174,0.028,13.16,0.033,13.063,0.033,12.998,0.065,,,,,OBA
Sk -67 204,83.70904527777776,-67.35346972222221,,,,,,,,,10.7,0.024,10.702,0.023,10.657,0.023,10.558,0.02,10.533,0.021,10.513,0.021,10.496,0.026,,,OBA
BAT99-63,83.71709999999999,-67.35789999999999,13.624,0.025,14.451,0.018,14.597,0.0231,14.719,0.135,14.68,0.023,14.559,0.031,14.437,0.04,14.109,0.028,13.722,0.029,13.746,0.053,13.489,0.073,,,WR
Sk -67 206,83.72962194444443,-67.04374694444444,11.995,0.069,9.862,0.072,12.024,0.1081,11.109,0.153,12.276,0.024,12.333,0.021,12.397,0.029,12.293,0.046,12.266,0.028,12.226,0.045,12.188,0.044,,,OBA
Sk -67 207,83.73108666666666,-67.3519136111111,10.545,0.118,9.459,0.207,10.348,0.087,,,10.31,0.026,10.203,0.021,10.199,0.026,10.08,0.029,10.016,0.018,9.981,0.029,9.949,0.025,,,OBA
Sk -69 197,83.74050138888887,-69.73172,,,,,,,,,12.191,0.022,12.223,0.024,12.185,0.021,12.087,0.032,12.07,0.029,11.932,0.044,11.965,0.045,,,OBA
BAT99-64,83.7474136111111,-69.73507694444443,13.347,0.024,14.081,0.031,14.073,0.0451,14.321,0.047,14.216,0.024,14.145,0.027,13.944,0.033,13.589,0.041,13.178,0.031,13.034,0.059,12.477,0.056,,,WR
Sk -69 200,83.76499944444443,-69.75055694444444,,,,,,,,,11.091,0.021,11.122,0.025,11.055,0.025,10.942,0.022,10.852,0.023,10.831,0.03,10.789,0.029,,,OBA
RXJ0535.0-6700,83.77458194444444,-67.00444777777777,13.941,0.026,14.728,0.029,14.873,0.0231,14.91,0.032,,,,,,,13.508,0.047,13.341,0.049,13.612,0.042,13.464,0.083,,,OBAe
BAT99-65,83.81339999999999,-69.09509999999999,15.612,0.101,15.542,0.038,15.389,0.05,,,14.517,0.027,14.284,0.033,14.049,0.035,13.47,0.041,13.053,0.04,12.833,0.059,12.53,0.038,,,WR
W27-3,83.85466777777776,-68.90419777777777,12.683,0.01,13.604,0.01,13.566,0.0101,13.388,0.039,13.228,0.023,13.123,0.025,13.079,0.025,12.785,0.026,12.711,0.031,12.548,0.05,,,,,OBA
BAT99-66,83.87416833333332,-67.11372388888888,14.351,0.021,15.082,0.127,15.36,0.0181,15.427,0.027,15.428,0.033,15.461,0.052,15.287,0.085,14.749,0.037,14.373,0.042,14.351,0.085,13.781,0.08,,,WR
W27-7,83.9058761111111,-68.86194611111111,11.963,0.01,12.924,0.01,13.056,0.0101,13.175,0.098,,,,,,,13.414,0.028,13.36,0.027,13.319,0.047,13.451,0.063,,,OBA
[ST92]2-2,83.9157486111111,-69.22216805555554,14.123,0.031,14.976,0.031,15.026,0.1621,15.087,0.166,14.968,0.03,15.054,0.048,15.046,0.067,14.969,0.064,15.035,0.066,,,,,,,OBA
Sk -66 163,83.92175277777777,-66.04341888888888,11.617,0.111,10.476,0.084,10.925,0.1571,11.51,0.3,12.544,0.024,12.612,0.028,12.603,0.033,12.614,0.033,12.548,0.028,12.538,0.046,12.549,0.058,,,OBA
[ST92]2-9,83.92346194444444,-69.22158055555555,14.116,0.031,14.496,0.03,14.229,0.0761,13.619,0.04,13.177,0.035,13.017,0.044,12.827,0.054,12.694,0.028,12.682,0.025,12.846,0.078,,,,,OBA
[ST92]2-10,83.92462166666665,-69.22586055555554,14.712,0.032,15.481,0.044,15.285,0.0901,15.476,0.045,15.464,0.033,15.566,0.061,15.379,0.089,14.977,0.1,15.023,0.072,,,,,,,OBA
BAT99-67,83.9258,-69.20939999999999,12.969,0.035,13.708,0.052,13.587,0.1641,13.325,0.051,13.112,0.027,13.01,0.032,12.756,0.032,12.315,0.028,12.03,0.03,11.927,0.053,,,,,WR
BAT99-69,83.92589999999998,-69.198,,,,,,,,,,,,,,,11.171,0.056,10.678,0.077,10.531,0.055,,,,,WR
ST2-13,83.92700194444443,-69.17788694444444,,,,,,,,,13.105,0.035,12.136,0.031,11.77,0.03,11.388,0.033,11.404,0.025,11.225,0.029,11.099,0.044,,,OBA
