D4000_N,log_sqrd_OIII,Target_class
1.2878076,0.9213131089191369,0
1.7581488,-0.7061798105386063,2
1.7632422,-1.2842109208911665,2
1.7778151,-0.20646975208388527,2
1.7619427,-0.5980721565499649,2
1.2658436,-0.2240446121231015,0
1.455756,0.34601395126388507,0
1.0935462,2.7583123273542647,0
1.0476489,3.7055278002640026,0
1.933572,-1.0504038760269372,2
1.8632214,-0.37407213539727785,2
1.9585148,0.4707423268565384,2
1.24348,1.3366832924386616,0
1.1872082,1.4134911935408638,0
1.2057832,0.4179463515941168,0
1.1339109,1.9808594903075978,0
1.2334403,0.7561770299072033,0
1.3407162,-0.181346061140326,0
1.9273417,0.2382957925028793,2
1.9127636,-1.0092935881552612,2
1.2066783,0.7933215591680542,0
1.2384522,2.1751223266219983,0
1.9757178,-1.8091192435440773,2
1.8995156,0.05213223231969319,2
0.9051417,4.307997384005874,0
1.2445377,1.4311355736747642,0
1.7210007,-1.7187870895807058,2
1.1668248,0.9430756786439083,0
1.3631643,0.7948215007480859,0
1.9051936,-0.40051245294774696,2
1.9648316,-0.035359551755086344,2
1.7508622,1.6270047896731623,1
1.9455631,-0.35463045601134574,2
1.1552941,0.8821954148631024,0
1.8985356,-0.3169092599455977,2
1.3454654,1.2877420721880564,0
1.9838803,-0.8197201753108723,2
1.293618,1.0476119533631556,0
1.1763796,1.5549897952153597,0
1.2194625,2.2579407173695674,0
1.8403891,-4.710921158512916,2
2.0077364,0.3551154182849571,2
1.17323,1.3753456505978963,0
1.244272,1.4037492916130445,0
1.7201843,-0.9516399506059723,2
1.3042583,1.9241447588908738,0
1.9331331,-2.7420478455921082,2
1.221606,1.2070665962344267,0
1.8596741,-0.7442658910188107,2
1.3882891,0.27750548284597637,0
1.743982,-0.9064332824600546,2
1.1653155,1.074423078408112,0
1.1721989,2.315561804451513,0
1.1528196,1.5310295477609508,0
2.0006237,-0.8132557162787448,2
1.2499856,2.2035814147100212,0
1.9286802,-0.14705213082594418,2
1.8643085,-0.8048013530331227,2
1.9873917,-0.5293541854179233,2
1.8894286,0.49141912183483477,2
1.3040379,0.3476934776460918,0
1.9602438,-3.5627953505789374,2
1.1875135,2.514800594647718,0
1.8140366,-0.07017079043016992,2
1.9418367,-1.5574382455499982,2
1.9512849,-1.822177375532186,2
1.7579192,-0.0768023801546483,2
1.2399803,0.9886564984972965,0
1.9145362,-0.8426126351304187,2
1.3946623,0.15487949745959917,0
1.1973451,1.7114765292871201,0
1.1143041,1.9923023439607226,0
1.1967838,1.828497976116767,0
1.2264088,1.7312509330672898,0
1.1640836,1.3875961659908957,0
2.0079234,-0.7312745676354719,2
1.1300682,3.085587287804077,0
1.1963309,0.8986785585001298,0
1.9781319,-1.1139218942280733,2
2.0032434,-0.6718291573086027,2
1.9093237,-2.2842600698986426,2
1.7096907,-0.09474198563795642,2
