log_sqred_OIII_5007_EQW,D4000_N,log(OIII_5007/H_BETA),log(NII_6584/H_ALPHA),Target_class
0.31173505089917314,1.2167915,-0.701026,-0.44979066,SF
1.7473194497557283,1.2330122,0.16819173,-0.8630624,SF
1.2899701252780478,1.1518978,-0.35977414,-0.53874385,SF
3.2330762131986712,1.0690559,0.41536027,-1.0928982,SF
-0.033121414410337266,1.9797187,-0.01332188,-0.22976924,PASS
1.024376310902523,1.1899983,-0.39837018,-0.4329152,SF
0.5128006995394637,1.2933952,-0.46562564,-0.49178982,SF
0.16553542208260144,2.0179226,0.12427004,-0.08649804,PASS
2.803871715642978,1.1400392,0.10449959,-0.6977487,SF
0.059940008218038396,1.2410395,-0.6116771,-0.40400946,SF
2.0778428027983655,1.1326514,-0.134821,-0.62382513,SF
-1.2480385131845915,1.7005433,-0.46198082,-0.14446922,PASS
2.3218185297495553,1.1433505,0.30886844,-0.97260296,SF
1.8536183304709517,1.1645324,-0.20217212,-0.59926903,SF
1.847806710546609,1.2173254,-0.05892876,-0.6507556,SF
0.5831217312573593,1.1865621,-0.6696102,-0.45347455,SF
1.7461540176835462,1.5004975,0.32739037,-0.12301361,AGN
-0.6351759826318356,1.9019653,0.02405066,-0.23022525,PASS
1.3479985440855604,1.1663686,0.010881719,-0.6830579,SF
2.8457221321847714,1.0794518,0.24914885,-0.83003664,SF
1.2648691088010984,1.2052946,-0.28434467,-0.49072278,SF
1.899328222430956,1.1837474,-0.045098517,-0.55270976,SF
3.0270226311920423,1.2142332,0.38730645,-1.069095,SF
2.274769186430859,1.135068,0.031202022,-0.6861328,SF
0.8793178161078441,1.3357929,-0.37811488,-0.39096296,SF
1.964900142504671,1.2765902,0.44248924,-0.10299208,AGN
-0.3895944707649612,2.0470445,-0.3872746,-0.0190173,PASS
-0.3902973806062747,1.9114921,0.02563325,0.07958788,PASS
2.018599772697576,1.1874629,0.06791318,-0.71429956,SF
1.0387215026125936,1.2791559,-0.30734858,-0.52494127,SF
3.1364516182726825,1.023762,0.4032337,-1.1394193,SF
0.6130505151685193,1.1879488,-0.6629853,-0.4402703,SF
0.7159357118724214,1.3373338,-0.43601704,-0.4323055,SF
1.1151467753441144,1.272814,-0.43997425,-0.47219756,SF
1.5784924802032794,1.2599223,-0.051822778,-0.65341204,SF
1.2889750620176552,1.2815477,-0.28901014,-0.4576292,SF
4.0177878559192655,1.048179,0.5015354,-1.1367959,SF
0.208792018346139,1.3110123,-0.67226696,-0.41095397,SF
-0.21750568340774928,2.0227175,-0.29790956,-0.09072806,PASS
-1.7145339153069827,1.8177558,-0.3644182,-0.031210199,PASS
1.2913183995933022,1.2318771,-0.35573334,-0.50686425,SF
1.6210847937348354,1.3933136,0.005339468,-0.5121228,SF
1.1925230735147916,1.2810103,-0.43966085,-0.37818837,SF
2.371472906414843,1.163263,0.067817844,-0.6806732,SF
1.302315717456525,1.2439611,-0.21078429,-0.65774214,SF
1.402885027351794,1.1839486,-0.3290403,-0.4993477,SF
0.6377706299358137,1.3611419,-0.5662901,-0.27159685,SF
2.026970883475391,1.1939852,0.09662327,-0.77744484,SF
1.2506614765700856,1.1480341,-0.4398368,-0.5177364,SF
2.739044892890337,1.1505269,0.34430158,-0.99917173,SF
2.2285465147409003,1.4982954,0.77635103,0.010341131,AGN
0.2793313264037472,1.7713268,0.003926237,-0.22633399,PASS
1.0435239458481105,1.1906188,-0.4828415,-0.39945522,SF
2.3955678751756744,1.2684278,0.19857024,-0.86200166,SF
1.727341454951796,1.1825303,0.046931,-0.87701833,SF
1.9564821346821926,1.1234956,0.2277637,-0.96003723,SF
3.0982477325534408,1.2513278,0.5053003,-0.8883847,SF
0.16859555101875873,1.2642306,-0.7057457,-0.38563547,SF
2.356780104068882,1.197379,0.13592839,-0.7985437,SF
1.902126798574425,1.1774434,-0.14364453,-0.6184925,SF
1.1542260114660752,1.1499224,-0.324523,-0.50897247,SF
-0.7576687774026677,1.5772121,-0.51908576,-0.31657162,PASS
0.9738765986011942,1.2122736,-0.3450267,-0.478175,SF
3.6458001449155857,1.0432699,0.48144424,-1.1505861,SF
-0.869673114122393,2.0029125,-0.41290992,-0.27782694,PASS
2.1887314783466576,1.0889966,-0.0076436955,-0.67601305,SF
1.9587380409749282,1.1925465,-0.09326395,-0.5906216,SF
